"";"g0.all";"g1.immune";"g2.proliferation";"g3.stromalEMT";"g4.stromal.NonImmune"
"all";2549;431;275;331;264
"durva.good";169;45;18;21;13
"durva.poor";12;0;2;2;2
"plac.good";15;4;4;2;0
"plac.poor";69;7;8;11;9
"unique";262;56;31;36;24
